Ref,Val,Package,PosX,PosY,Rot,Side
"R57","100k","R_0201_0603Metric",211.150000,-75.830000,90.000000,top
"R58","100k","R_0201_0603Metric",214.725000,-80.260000,-90.000000,top
"R59","100k","R_0201_0603Metric",212.175000,-78.040000,90.000000,top
"R60","4.7M","R_0201_0603Metric",212.150000,-80.285000,-90.000000,top
"R61","100k","R_0201_0603Metric",207.325000,-75.350000,180.000000,top
"R62","100k","R_0201_0603Metric",213.525000,-73.600000,90.000000,top
"R63","1k","R_0201_0603Metric",163.000000,-63.400000,0.000000,top
"R64","1k","R_0201_0603Metric",163.000000,-64.900000,0.000000,top
"R65","10k","R_0201_0603Metric",192.260000,-112.600000,0.000000,top
"R66","10k","R_0201_0603Metric",192.260000,-111.525000,0.000000,top
"SW1","SW_DIP_x04","SW_DIP_SPSTx04_Slide_Copal_CHS-04A_W5.08mm_P1.27mm_JPin",170.200000,-70.100000,180.000000,top
"SW2","SW_DIP_x04","SW_DIP_SPSTx04_Slide_Copal_CHS-04A_W5.08mm_P1.27mm_JPin",170.250000,-78.600000,180.000000,top
"SW3","SW_DIP_x04","SW_DIP_SPSTx04_Slide_Copal_CHS-04A_W5.08mm_P1.27mm_JPin",170.240000,-87.305000,180.000000,top
"TP5","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",153.500000,-98.050000,0.000000,top
"TP6","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",153.600000,-103.050000,0.000000,top
"TP7","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",153.500000,-107.350000,0.000000,top
"TP8","TestPoint","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",153.500000,-112.000000,0.000000,top
"U1","MIMXRT1052CVJ5B","BGA196C80P14X14_1200X1200X152",195.800000,-91.000000,0.000000,top
"U2","LM3940IMPX-3.3/NOPB","MP04A",160.825000,-128.850000,90.000000,top
"U3","IS25LX512M-JHLE","BGA24C100P5X5_600X800X120",180.675000,-95.525000,-90.000000,top
"U4","TLV1704","TSSOP-14_4.4x5mm_P0.65mm",206.687500,-78.825000,0.000000,top
"U5","AP22652","SOT95P280X145-6N",196.975000,-69.600000,0.000000,top
"Y1","CPFBZ-A2C4-32.768KD6","Crystal_SMD_SeikoEpson_MC306-4Pin_8.0x3.2mm",208.925000,-94.750000,0.000000,top
"Y2","TSX-3225 24.0000MF15X-AC6","Crystal_SMD_3225-4Pin_3.2x2.5mm",206.650000,-89.025000,0.000000,top
